Class,Poisonous,Edible
cap-shape,"[ -0.82676978  -4.36118526 -18.44727319  -0.94018599  -1.84348949
  -6.95144302]","[ -0.75284359  -2.37498001  -4.8253453   -0.99188572  -2.86368777
 -18.518391  ]"
cap-surface,[-1.01567751 -0.81013285 -1.64980797 -6.951443  ],[ -1.30444736  -1.02446187  -0.99509598 -18.51839099]
cap-color,"[ -1.33347071  -1.75664619  -2.49710582  -1.60275961  -1.50041473
  -3.81595857  -3.45494536 -18.44727323  -5.65216747 -18.44727323]","[-1.21643253 -2.3686106  -1.74445633 -1.41187896 -1.90857718 -4.22936241
 -4.33699301 -5.48212382 -4.82534534 -5.63627414]"
bruises,[-1.85158666 -0.17077395],[-0.42270046 -1.06500795]
odor,"[ -2.75676053 -18.44727322 -18.44727322  -3.4961883   -0.59418881
  -3.0066402   -1.93417332  -1.89520735  -4.61607732]","[-18.51839103  -2.35286223  -2.39433548  -0.20620031 -18.51839103
 -18.51839103 -18.51839103 -18.51839103 -18.51839103]"
gill-attachment,[-5.11838299e-03 -5.27747481e+00],[-0.04622289 -3.09730254]
gill-spacing,[-0.03012374 -3.51746562],[-0.33380122 -1.25947189]
gill-size,[-0.56065334 -0.84591613],[-2.7552071  -0.06570811]
gill-color,"[ -4.11823931  -3.51746572  -2.06865125  -1.80395872  -2.76686166
  -2.04125228  -4.38650311 -18.44727325  -0.8072676   -5.15969209
  -5.10562495 -18.44727325]","[ -2.55283873  -1.48786488  -2.82787837  -1.62139626  -1.45677429
  -3.03358683  -2.24906548  -3.71446373 -18.51839106 -18.51839106
  -4.2710351   -4.22936243]"
stalk-shape,[-0.73152587 -0.65618713],[-0.95956123 -0.482985  ]
stalk-root,[ -2.75676049  -4.41247851  -0.75297445 -18.44727318  -0.79094932],[-1.58449165 -2.09531724 -0.78750687 -3.15136978 -1.74786345]
stalk-surface-above-ring,[-0.94921353 -3.34053499 -0.55285822 -6.10415095],[-0.14665042 -2.31604822 -3.38498456 -5.55623157]
stalk-surface-below-ring,[-0.94674337 -3.28789127 -3.9391911  -0.58842505],[-0.20985925 -2.21582135 -3.06493728 -3.39379519]
stalk-color-above-ring,"[ -0.82458402 -18.44727322  -1.1127514   -2.20362665  -2.20362665
 -18.44727322 -18.44727322  -4.61607732  -6.104151  ]","[ -0.42542532  -1.9834562   -1.99869045  -5.55623162 -18.51839103
  -3.7144637   -3.0973026  -18.51839103 -18.51839103]"
stalk-color-below-ring,"[ -0.85113425  -1.09066697 -18.44727322  -2.20074064  -2.19786294
 -18.44727322  -5.21685037 -18.44727322  -4.61607732]","[ -0.44146967  -2.00088584  -1.98561837 -18.51839103  -4.2293624
  -3.70234235 -18.51839103  -3.0973026  -18.51839103]"
veil-type,[0.],[0.]
veil-color,[-2.23609465e-03 -1.84472732e+01 -1.84472732e+01 -6.10415095e+00],[ -0.04622291  -3.71446366  -3.8726876  -18.51839099]
ring-number,[-0.02880926 -3.98962192 -4.61607726],[ -0.13808432  -2.04813866 -18.51839098]
ring-type,[ -1.57771913  -0.78603531  -1.114695   -18.44727318  -4.61607728],[ -0.29434118  -1.41187891 -18.518391    -4.48359632 -18.518391  ]
spore-print-color,"[ -2.86267953  -2.88527936 -18.44727322  -0.91437814  -0.75977261
  -3.98962197 -18.44727322 -18.44727322 -18.44727322]","[ -0.93579629  -0.88484396  -4.5948219   -4.48359636  -1.96845056
 -18.51839103  -4.4576209   -4.56583439  -4.43230311]"
population,"[ -2.39407356 -18.44727319 -18.44727319  -0.31857344  -1.78857374
  -4.24340231]",[-1.5644049  -2.34353088 -2.39433545 -1.27636778 -1.37594691 -2.63224544]
habitat,"[ -2.670168    -1.67845359  -4.68276861  -1.13137024  -1.36420451
 -18.4472732   -1.8536213 ]","[-3.858503   -1.09121037 -2.79817318 -0.80663045 -3.47679211 -3.01523765
 -2.88474118]"
